Modelo,CodigoModelo,AnoLabel,AnoModelo,Combustivel,Valor,CodigoFipe,MesReferencia,DataConsulta,Valor_num,Marca
Polo 1.6 MSI Flex 16V 5p,8067,2019 Flex,2019.0,Flex,"R$ 64.217,00",005478-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:56",64217.0,VW - VolksWagen
Polo 1.6 MSI Flex 16V 5p,8067,2018 Flex,2018.0,Flex,"R$ 59.698,00",005478-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:56",59698.0,VW - VolksWagen
Polo 1.6 MSI Total Flex 16V 5p Aut.,8426,2022 Flex,2022.0,Flex,"R$ 75.507,00",005499-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:56",75507.0,VW - VolksWagen
Polo 1.6 MSI Total Flex 16V 5p Aut.,8426,2021 Flex,2021.0,Flex,"R$ 70.731,00",005499-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:57",70731.0,VW - VolksWagen
Polo 1.6 MSI Total Flex 16V 5p Aut.,8426,2020 Flex,2020.0,Flex,"R$ 66.501,00",005499-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:57",66501.0,VW - VolksWagen
Polo 1.6 MSI Total Flex 16V 5p Aut.,8426,2019 Flex,2019.0,Flex,"R$ 64.879,00",005499-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:57",64879.0,VW - VolksWagen
Polo 2.0 Mi 116cv 8V 5p,2530,,,,,,,,,VW - VolksWagen
Polo BLUEMOTION 1.6 Total Flex 8V 5p,4909,,,,,,,,,VW - VolksWagen
Polo Classic 1.0 Mi 16v  65cv 4p,2531,,,,,,,,,VW - VolksWagen
Polo Classic/ Special 1.8 Mi,2532,,,,,,,,,VW - VolksWagen
Polo Comfort. 200 TSI 1.0 Flex 12V Aut.,8068,2022 Flex,2022.0,Flex,"R$ 85.934,00",005477-1,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:58",85934.0,VW - VolksWagen
Polo Comfort. 200 TSI 1.0 Flex 12V Aut.,8068,2021 Flex,2021.0,Flex,"R$ 79.187,00",005477-1,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:58",79187.0,VW - VolksWagen
Polo Comfort. 200 TSI 1.0 Flex 12V Aut.,8068,2020 Flex,2020.0,Flex,"R$ 74.688,00",005477-1,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:58",74688.0,VW - VolksWagen
Polo Comfort. 200 TSI 1.0 Flex 12V Aut.,8068,2019 Flex,2019.0,Flex,"R$ 71.355,00",005477-1,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:58",71355.0,VW - VolksWagen
Polo Comfort. 200 TSI 1.0 Flex 12V Aut.,8068,2018 Flex,2018.0,Flex,"R$ 69.614,00",005477-1,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:59",69614.0,VW - VolksWagen
Polo Comfortline TSI 1.0 Flex 12V Aut.,10109,2026 Flex,2026.0,Flex,"R$ 107.829,00",005535-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:59",107829.0,VW - VolksWagen
Polo Comfortline TSI 1.0 Flex 12V Aut.,10109,2025 Flex,2025.0,Flex,"R$ 99.517,00",005535-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:59",99517.0,VW - VolksWagen
Polo Comfortline TSI 1.0 Flex 12V Aut.,10109,2024 Flex,2024.0,Flex,"R$ 89.319,00",005535-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 02:00",89319.0,VW - VolksWagen
Polo Comfortline TSI 1.0 Flex 12V Aut.,10109,2023 Flex,2023.0,Flex,"R$ 84.306,00",005535-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 02:00",84306.0,VW - VolksWagen
Polo GT 2.0 Mi Total Flex 8V 5p,4797,,,,,,,,,VW - VolksWagen
Polo GTI 1.8 Mi 150cv 20V Turbo 3p,4300,,,,,,,,,VW - VolksWagen
Polo GTS 1.4 TSI 16V Flex,8996,2025 Flex,2025.0,Flex,"R$ 136.276,00",005521-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 02:01",136276.0,VW - VolksWagen
Polo GTS 1.4 TSI 16V Flex,8996,2024 Flex,2024.0,Flex,"R$ 124.214,00",005521-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 02:01",124214.0,VW - VolksWagen
Polo GTS 1.4 TSI 16V Flex,8996,2023 Flex,2023.0,Flex,"R$ 119.014,00",005521-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 02:01",119014.0,VW - VolksWagen
Polo GTS 1.4 TSI 16V Flex,8996,2022 Flex,2022.0,Flex,"R$ 110.312,00",005521-2,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 02:01",110312.0,VW - VolksWagen
